"","DateTimeUTC","Lat","Long","lc"
"137",2019-09-17 15:41:48,36.108,-122.1571,3
"138",2019-09-17 15:44:16,36.1066,-122.1548,3
"139",2019-09-17 15:49:22,36.1042,-122.1503,3
"140",2019-09-17 15:51:44,36.1028,-122.1478,3
"141",2019-09-17 15:57:22,36.1006,-122.1409,3
"142",2019-09-17 15:59:04,36.0993,-122.1393,3
"143",2019-09-17 16:02:26,36.0978,-122.1365,3
"144",2019-09-17 16:08:41,36.0944,-122.1306,3
"145",2019-09-17 16:12:12,36.0923,-122.1271,3
"146",2019-09-17 16:19:33,36.0872,-122.1198,3
"147",2019-09-17 16:22:31,36.0854,-122.1181,3
"148",2019-09-17 16:30:19,36.0805,-122.1122,3
"149",2019-09-17 16:44:16,36.07,-122.103,3
"150",2019-09-17 16:48:06,36.0675,-122.101,3
"151",2019-09-17 16:50:19,36.066,-122.0996,3
"152",2019-09-17 16:53:28,36.0638,-122.0981,3
"153",2019-09-17 17:10:00,36.0515,-122.0874,3
"154",2019-09-17 17:17:52,36.0453,-122.0843,3
"155",2019-09-17 17:26:24,36.039,-122.0774,3
"156",2019-09-17 17:29:24,36.0366,-122.0749,3
"157",2019-09-17 17:31:14,36.0347,-122.073,3
"158",2019-09-17 17:35:51,36.0311,-122.07,3
"159",2019-09-17 17:47:00,36.0237,-122.0605,3
"160",2019-09-17 17:54:23,36.0184,-122.0549,3
"161",2019-09-17 18:06:18,36.0081,-122.044,3
"162",2019-09-17 18:08:17,36.0065,-122.0418,3
"163",2019-09-17 18:18:18,35.9994,-122.031,3
"164",2019-09-17 18:25:36,35.9948,-122.0242,3
"165",2019-09-17 18:36:15,35.9854,-122.0202,3
"166",2019-09-17 18:38:14,35.9832,-122.0194,3
"167",2019-09-17 18:42:20,35.9792,-122.0173,3
"168",2019-09-17 18:56:47,35.9674,-122.0077,3
"169",2019-09-17 19:17:16,35.9533,-121.9887,3
"170",2019-09-17 19:20:55,35.9506,-121.9842,3
"171",2019-09-17 19:26:34,35.9465,-121.9781,3
"172",2019-09-17 19:30:53,35.9436,-121.9741,3
"173",2019-09-17 19:46:48,35.9353,-121.9601,3
"174",2019-09-17 19:51:38,35.9329,-121.9571,3
"175",2019-09-17 20:05:06,35.9255,-121.9454,3
"176",2019-09-17 20:11:05,35.9223,-121.9419,3
"177",2019-09-17 20:25:31,35.9148,-121.9321,3
"178",2019-09-17 20:27:55,35.9133,-121.9307,3
"179",2019-09-17 20:48:26,35.8973,-121.9186,3
"180",2019-09-17 20:50:13,35.8958,-121.9178,3
"181",2019-09-17 20:59:08,35.8918,-121.9094,3
"182",2019-09-17 21:01:16,35.8901,-121.9075,3
"183",2019-09-17 21:06:49,35.8859,-121.9032,3
"184",2019-09-17 21:22:15,35.8727,-121.8947,3
"185",2019-09-17 21:27:13,35.8686,-121.8925,3
"186",2019-09-17 21:29:39,35.8665,-121.8914,3
"187",2019-09-17 21:46:52,35.8508,-121.8838,3
"188",2019-09-17 21:54:22,35.8432,-121.8803,3
"189",2019-09-17 22:12:12,35.8267,-121.8688,3
"190",2019-09-17 22:19:03,35.82,-121.8652,3
"191",2019-09-17 22:21:59,35.8171,-121.8636,3
"192",2019-09-17 22:38:13,35.8023,-121.8531,3
"193",2019-09-17 22:42:52,35.7974,-121.8494,3
"194",2019-09-17 22:54:18,35.7862,-121.8415,3
"195",2019-09-17 22:57:14,35.7841,-121.8377,3
"196",2019-09-17 23:14:29,35.7755,-121.8319,3
"197",2019-09-17 23:16:11,35.7739,-121.8323,3
"198",2019-09-17 23:33:48,35.7708,-121.8392,3
"199",2019-09-17 23:47:44,35.7657,-121.8448,3
"200",2019-09-18 00:05:24,35.7721,-121.8487,3
"201",2019-09-18 00:22:21,35.7704,-121.8528,3
"202",2019-09-18 00:25:05,35.7691,-121.8546,3
"203",2019-09-18 00:37:44,35.7676,-121.8577,3
"204",2019-09-18 00:40:23,35.768,-121.8567,3
"205",2019-09-18 00:51:17,35.7685,-121.8538,3
"206",2019-09-18 00:53:11,35.7693,-121.8551,3
"207",2019-09-18 01:03:58,35.7636,-121.8638,3
"208",2019-09-18 01:29:31,35.7514,-121.8674,3
"209",2019-09-18 01:31:11,35.7522,-121.8664,3
"210",2019-09-18 01:42:37,35.7573,-121.8628,3
"211",2019-09-18 01:44:12,35.7577,-121.8618,3
"212",2019-09-18 01:55:05,35.7643,-121.8578,3
"213",2019-09-18 01:57:04,35.7633,-121.8554,3
"214",2019-09-18 02:07:08,35.7537,-121.8467,3
"215",2019-09-18 02:20:15,35.7518,-121.8391,3
"216",2019-09-18 02:30:51,35.7533,-121.8367,3
"217",2019-09-18 02:35:42,35.7536,-121.8363,3
"218",2019-09-18 02:42:00,35.7574,-121.8353,3
"219",2019-09-18 02:45:52,35.7597,-121.833,3
"220",2019-09-18 02:48:57,35.7577,-121.8306,3
"221",2019-09-18 02:52:34,35.7533,-121.8264,3
"222",2019-09-18 02:54:29,35.7507,-121.8238,3
"223",2019-09-18 02:57:00,35.7483,-121.8209,3
"224",2019-09-18 02:59:44,35.7453,-121.8187,3
"225",2019-09-18 03:02:05,35.7425,-121.8175,3
"226",2019-09-18 03:04:27,35.7398,-121.8158,3
"227",2019-09-18 03:10:58,35.7329,-121.8137,3
"228",2019-09-18 03:27:12,35.7158,-121.8102,3
"229",2019-09-18 03:29:54,35.7121,-121.8082,3
"230",2019-09-18 03:41:51,35.7004,-121.8062,3
"231",2019-09-18 03:50:18,35.6931,-121.8037,3
"232",2019-09-18 03:52:06,35.691,-121.8033,3
"233",2019-09-18 04:00:54,35.684,-121.8006,3
"234",2019-09-18 04:03:43,35.6813,-121.7994,3
"235",2019-09-18 04:08:22,35.6771,-121.7989,3
"236",2019-09-18 04:10:00,35.6763,-121.7976,3
"237",2019-09-18 04:19:19,35.6685,-121.796,3
"238",2019-09-18 04:21:38,35.6672,-121.7963,3
"239",2019-09-18 04:23:01,35.6659,-121.7962,3
"240",2019-09-18 04:34:54,35.6562,-121.7986,3
"241",2019-09-18 04:37:46,35.6556,-121.8013,3
"242",2019-09-18 04:46:52,35.6564,-121.8103,3
"243",2019-09-18 04:53:55,35.6558,-121.8155,3
"244",2019-09-18 05:02:53,35.6578,-121.8232,3
