TotLength,EnCost,EnCostMinusCetER,EnCostkJ,EnCostkJMinusCetER,Log10TotLength,Log10EnCostkJMinusCetER
8.089323455,1280870.872,853913.9147,1280.870872,853.9139147,0.907912201,2.931414091
8.089323455,1150142.283,766761.522,1150.142283,766.761522,0.907912201,2.884660311
8.089323455,807715.9017,538477.2678,807.7159017,538.4772678,0.907912201,2.731167374
8.089323455,1114453.434,742968.956,1114.453434,742.968956,0.907912201,2.870970668
8.089323455,677450.4127,451633.6085,677.4504127,451.6336085,0.907912201,2.654786253
8.089323455,902498.3168,601665.5445,902.4983168,601.6655445,0.907912201,2.779355142
8.089323455,1508275.784,1005517.189,1508.275784,1005.517189,0.907912201,3.002389499
8.089323455,924327.7364,616218.4909,924.3277364,616.2184909,0.907912201,2.789734726
8.089323455,736565.7839,491043.8559,736.5657839,491.0438559,0.907912201,2.691120281
8.089323455,1077058.91,718039.2733,1077.05891,718.0392733,0.907912201,2.856148199
