event-id,visible,timestamp,location-long,location-lat,expanded-time,algorithm-marked-outlier,argos:altitude,argos:best-level,argos:calcul-freq,argos:error-radius,argos:gdop,argos:iq,argos:lat1,argos:lat2,argos:lc,argos:lon1,argos:lon2,argos:nb-mes,argos:nb-mes-120,argos:nopc,argos:orientation,argos:pass-duration,argos:semi-major,argos:semi-minor,argos:sensor-1,argos:sensor-2,argos:sensor-3,argos:sensor-4,argos:valid-location-algorithm,behavioural-classification,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
679432293,TRUE,51:35.0,-28.44823206,42.89404005,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432294,TRUE,51:07.0,-28.48875768,42.9825161,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432295,TRUE,50:38.0,-28.51487621,43.03728103,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432296,TRUE,50:09.0,-28.55218955,43.07573365,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432297,TRUE,49:40.0,-28.61586892,43.12146062,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432298,TRUE,49:11.0,-28.6685521,43.15347237,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432299,TRUE,48:43.0,-28.74404794,43.22159708,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432300,TRUE,48:14.0,-28.79314029,43.27965398,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432301,TRUE,47:45.0,-28.80589998,43.37513234,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432302,TRUE,47:16.0,-28.85082421,43.46980836,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432303,TRUE,46:47.0,-28.86939752,43.53815828,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432304,TRUE,46:19.0,-28.93650718,43.59524167,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432305,TRUE,45:50.0,-28.98880151,43.62771396,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432306,TRUE,45:21.0,-29.03636416,43.67869844,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432307,TRUE,44:52.0,-29.09599184,43.74096272,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432308,TRUE,44:23.0,-29.18423111,43.80914429,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432309,TRUE,43:55.0,-29.24769175,43.87228953,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432310,TRUE,43:26.0,-29.31300852,43.94546763,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432311,TRUE,42:57.0,-29.36221116,44.01355334,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432312,TRUE,42:28.0,-29.40612634,44.07196789,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432313,TRUE,41:59.0,-29.47609194,44.14909269,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432314,TRUE,41:31.0,-29.57480798,44.21806231,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432315,TRUE,41:02.0,-29.70705702,44.30839076,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432316,TRUE,40:33.0,-29.79692622,44.38421064,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432317,TRUE,40:04.0,-29.92979127,44.48785092,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432318,TRUE,39:35.0,-30.07287122,44.59344187,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432319,TRUE,39:07.0,-30.15021041,44.65199991,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432320,TRUE,38:38.0,-30.26962969,44.72691503,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432321,TRUE,38:09.0,-30.39592303,44.78568947,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432322,TRUE,37:40.0,-30.48782261,44.83768691,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432323,TRUE,37:11.0,-30.61417643,44.93664748,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432324,TRUE,36:43.0,-30.76929844,45.01366132,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432325,TRUE,36:14.0,-30.89763899,45.08833787,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432326,TRUE,35:45.0,-31.00331652,45.16768812,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
